Dataset,Outlier_Frac,Trial,Config,Rel_Error
Lanczos3,0.1,7,rho_f=0.85,0.06674525164116187
Lanczos3,0.1,8,rho_f=0.85,0.12370281805033567
Lanczos3,0.1,9,rho_f=0.85,0.02627497471000855
Lanczos3,0.1,10,rho_f=0.85,0.1735604616405983
Lanczos3,0.1,11,rho_f=0.85,0.11537650115292561
Lanczos3,0.1,12,rho_f=0.85,0.15414699358108308
Lanczos3,0.1,13,rho_f=0.85,0.1216123177431756
Lanczos3,0.1,14,rho_f=0.85,0.06773692640230757
Lanczos3,0.1,15,rho_f=0.85,0.06928626061715033
Lanczos3,0.1,16,rho_f=0.85,0.13147224035418872
Lanczos3,0.1,17,rho_f=0.85,0.019494730259221285
Lanczos3,0.1,18,rho_f=0.85,0.11335987553382587
Lanczos3,0.1,19,rho_f=0.85,0.12397164679530592
Lanczos3,0.3,0,rho_f=0.85,15.154492236430428
Lanczos3,0.3,1,rho_f=0.85,8.668648210623092
Lanczos3,0.3,2,rho_f=0.85,0.03905853340553293
Lanczos3,0.3,3,rho_f=0.85,0.3563980890986257
Lanczos3,0.3,4,rho_f=0.85,0.12066696871250746
Lanczos3,0.3,5,rho_f=0.85,0.13577682986385411
Lanczos3,0.3,6,rho_f=0.85,0.018386384106198125
Lanczos3,0.3,7,rho_f=0.85,0.34737842175183103
Lanczos3,0.3,8,rho_f=0.85,0.4329803358783905
Lanczos3,0.3,9,rho_f=0.85,1.1218944665524537
Lanczos3,0.3,10,rho_f=0.85,0.11194610959394583
Lanczos3,0.3,11,rho_f=0.85,0.12673328160353126
Lanczos3,0.3,12,rho_f=0.85,0.4616974333097245
Lanczos3,0.3,13,rho_f=0.85,0.360852991003179
Lanczos3,0.3,14,rho_f=0.85,0.20866252184669248
Lanczos3,0.3,15,rho_f=0.85,0.2783721158207308
Lanczos3,0.3,16,rho_f=0.85,0.1090697812476725
Lanczos3,0.3,17,rho_f=0.85,0.14430762199552669
Lanczos3,0.3,18,rho_f=0.85,0.9080923713309283
Lanczos3,0.3,19,rho_f=0.85,0.1424629835927286
MGH17,0.0,0,rho_f=0.85,0.12166971017640604
MGH17,0.1,0,rho_f=0.85,0.21961147984506893
MGH17,0.1,1,rho_f=0.85,0.32635517730594943
MGH17,0.1,2,rho_f=0.85,0.17808521181831946
MGH17,0.1,3,rho_f=0.85,0.23499076835245694
MGH17,0.1,4,rho_f=0.85,0.20951312039312736
MGH17,0.1,5,rho_f=0.85,0.22098494412050923
MGH17,0.1,6,rho_f=0.85,0.2076873620985921
MGH17,0.1,7,rho_f=0.85,0.09954144693496726
MGH17,0.1,8,rho_f=0.85,0.19552264385583645
MGH17,0.1,9,rho_f=0.85,0.19178153751719107
MGH17,0.1,10,rho_f=0.85,0.11307337319234756
MGH17,0.1,11,rho_f=0.85,0.20254531092949374
MGH17,0.1,12,rho_f=0.85,0.1900877862616551
MGH17,0.1,13,rho_f=0.85,0.21389537334856998
MGH17,0.1,14,rho_f=0.85,0.23704608121918094
MGH17,0.1,15,rho_f=0.85,0.21735923412545843
MGH17,0.1,16,rho_f=0.85,0.2146859071947498
MGH17,0.1,17,rho_f=0.85,0.17145616917031195
MGH17,0.1,18,rho_f=0.85,0.20855067537829985
MGH17,0.1,19,rho_f=0.85,0.32486246062302077
MGH17,0.3,0,rho_f=0.85,0.2783689971358984
MGH17,0.3,1,rho_f=0.85,0.3319381738397177
MGH17,0.3,2,rho_f=0.85,0.2231976831884046
MGH17,0.3,3,rho_f=0.85,0.22314907994253674
MGH17,0.3,4,rho_f=0.85,0.1160944642415201
MGH17,0.3,5,rho_f=0.85,0.3475066400639492
MGH17,0.3,6,rho_f=0.85,0.17369500359215273
MGH17,0.3,7,rho_f=0.85,0.07787288074820195
MGH17,0.3,8,rho_f=0.85,0.489251468985867
MGH17,0.3,9,rho_f=0.85,0.21470699530812584
MGH17,0.3,10,rho_f=0.85,0.16523395543162506
MGH17,0.3,11,rho_f=0.85,0.24203125595252478
MGH17,0.3,12,rho_f=0.85,0.19406126988962652
MGH17,0.3,13,rho_f=0.85,0.25300839560585625
MGH17,0.3,14,rho_f=0.85,0.21907329634279482
MGH17,0.3,15,rho_f=0.85,0.304390853565875
MGH17,0.3,16,rho_f=0.85,0.22616953002555662
MGH17,0.3,17,rho_f=0.85,0.20741801496230208
MGH17,0.3,18,rho_f=0.85,0.299685242930457
MGH17,0.3,19,rho_f=0.85,0.25292006618531887
Hahn1,0.0,0,rho_f=0.85,0.07458156221533209
Hahn1,0.1,0,rho_f=0.85,0.0915854421778326
Hahn1,0.1,1,rho_f=0.85,0.07458136740189752
Hahn1,0.1,2,rho_f=0.85,0.0905244392297351
