n,p,Magnitude,Leverage_Ratio,Trial,Method,Param_Error
100,5,4.0,0.1,19,Barron,0.9779515341359638
100,5,4.0,0.2,0,Lf_dual,0.027936432209909774
100,5,4.0,0.2,0,OLS,0.9224195658479457
100,5,4.0,0.2,0,Huber,0.09565796363276
100,5,4.0,0.2,0,Cauchy,0.23984709522506542
100,5,4.0,0.2,0,Barron,2.7986219919839534
100,5,4.0,0.2,1,Lf_dual,0.09202696540529462
100,5,4.0,0.2,1,OLS,0.797037680663039
100,5,4.0,0.2,1,Huber,0.11358306941327183
100,5,4.0,0.2,1,Cauchy,0.07039529053402782
100,5,4.0,0.2,1,Barron,1.1447076324264813
100,5,4.0,0.2,2,Lf_dual,0.0428785158770734
100,5,4.0,0.2,2,OLS,0.5924901915938424
100,5,4.0,0.2,2,Huber,0.07412741542465161
100,5,4.0,0.2,2,Cauchy,0.23903837300621317
100,5,4.0,0.2,2,Barron,1.738639045069284
100,5,4.0,0.2,3,Lf_dual,0.027810127514019435
100,5,4.0,0.2,3,OLS,0.3982678161641971
100,5,4.0,0.2,3,Huber,0.06995886274860835
100,5,4.0,0.2,3,Cauchy,0.18443020655700607
100,5,4.0,0.2,3,Barron,0.419730954782659
100,5,4.0,0.2,4,Lf_dual,0.04499435951709264
100,5,4.0,0.2,4,OLS,0.7100815081946192
100,5,4.0,0.2,4,Huber,0.08503115928587195
100,5,4.0,0.2,4,Cauchy,0.18858085100667962
100,5,4.0,0.2,4,Barron,4.883764776470299
100,5,4.0,0.2,5,Lf_dual,0.05449614948191343
100,5,4.0,0.2,5,OLS,1.3343410152335702
100,5,4.0,0.2,5,Huber,0.07912544448266387
100,5,4.0,0.2,5,Cauchy,0.7942865805614168
100,5,4.0,0.2,5,Barron,1.8519648032731482
100,5,4.0,0.2,6,Lf_dual,0.06650551036929475
100,5,4.0,0.2,6,OLS,0.4267736238182138
100,5,4.0,0.2,6,Huber,0.15239132122977012
100,5,4.0,0.2,6,Cauchy,0.37927006485896003
100,5,4.0,0.2,6,Barron,3.3594005981913293
100,5,4.0,0.2,7,Lf_dual,0.0545697418776728
100,5,4.0,0.2,7,OLS,1.0858382737329306
100,5,4.0,0.2,7,Huber,0.06570952821301339
100,5,4.0,0.2,7,Cauchy,0.8306561063342772
100,5,4.0,0.2,7,Barron,2.8919621081809286
100,5,4.0,0.2,8,Lf_dual,0.02733360817775155
100,5,4.0,0.2,8,OLS,0.2511692538421104
100,5,4.0,0.2,8,Huber,1.7979342355988865
100,5,4.0,0.2,8,Cauchy,1.6905682216933304
100,5,4.0,0.2,8,Barron,1092.8695962088852
100,5,4.0,0.2,9,Lf_dual,0.05710360472219788
100,5,4.0,0.2,9,OLS,0.5074226375490262
100,5,4.0,0.2,9,Huber,0.20405583895137044
100,5,4.0,0.2,9,Cauchy,1.9520216122399365
100,5,4.0,0.2,9,Barron,9.47686444124738
100,5,4.0,0.2,10,Lf_dual,0.0418943252421151
100,5,4.0,0.2,10,OLS,0.547508667131225
100,5,4.0,0.2,10,Huber,0.1827099663862622
100,5,4.0,0.2,10,Cauchy,1.7934141428429695
100,5,4.0,0.2,10,Barron,1.9356200015440503
100,5,4.0,0.2,11,Lf_dual,0.05210030369125681
100,5,4.0,0.2,11,OLS,0.7725996778315934
100,5,4.0,0.2,11,Huber,0.19159054677771634
100,5,4.0,0.2,11,Cauchy,0.9044990425791216
100,5,4.0,0.2,11,Barron,3.5613923758046826
100,5,4.0,0.2,12,Lf_dual,0.03650682753361072
100,5,4.0,0.2,12,OLS,1.192943346867294
100,5,4.0,0.2,12,Huber,0.05300307176281361
100,5,4.0,0.2,12,Cauchy,0.2950011560510532
100,5,4.0,0.2,12,Barron,3.264312289899297
100,5,4.0,0.2,13,Lf_dual,0.036581978285728775
100,5,4.0,0.2,13,OLS,1.2116252832057774
100,5,4.0,0.2,13,Huber,0.06086682045764429
100,5,4.0,0.2,13,Cauchy,1.0266364013467113
100,5,4.0,0.2,13,Barron,2.185414189653674
100,5,4.0,0.2,14,Lf_dual,0.04217214456087212
100,5,4.0,0.2,14,OLS,0.8546279529758217
100,5,4.0,0.2,14,Huber,0.17915177687079256
100,5,4.0,0.2,14,Cauchy,0.12127281350379589
100,5,4.0,0.2,14,Barron,0.8767417221149335
100,5,4.0,0.2,15,Lf_dual,0.04492555626836444
100,5,4.0,0.2,15,OLS,0.4503677044979063
100,5,4.0,0.2,15,Huber,0.1283636242497326
100,5,4.0,0.2,15,Cauchy,0.16876045742195722
100,5,4.0,0.2,15,Barron,0.9425038759803346
100,5,4.0,0.2,16,Lf_dual,0.024345305113016632
100,5,4.0,0.2,16,OLS,1.1965017007495826
100,5,4.0,0.2,16,Huber,0.24367549636302405
100,5,4.0,0.2,16,Cauchy,0.27996683064004524
100,5,4.0,0.2,16,Barron,0.6338458304404809
100,5,4.0,0.2,17,Lf_dual,0.04365138349324058
100,5,4.0,0.2,17,OLS,0.7505787483268962
100,5,4.0,0.2,17,Huber,0.04193583805157122
100,5,4.0,0.2,17,Cauchy,0.6633032419330737
100,5,4.0,0.2,17,Barron,0.9025865842527863
100,5,4.0,0.2,18,Lf_dual,0.034483415146526926
100,5,4.0,0.2,18,OLS,0.8526598901626966
100,5,4.0,0.2,18,Huber,0.12352532483028265
100,5,4.0,0.2,18,Cauchy,0.9735109170295009
100,5,4.0,0.2,18,Barron,3.5389338156742634
100,5,4.0,0.2,19,Lf_dual,0.039059444575854724
100,5,4.0,0.2,19,OLS,1.4140534147064323
100,5,4.0,0.2,19,Huber,0.10560962781544954
100,5,4.0,0.2,19,Cauchy,0.25929371820223496
100,5,4.0,0.2,19,Barron,3.48292636096338
100,5,8.0,0.1,0,Lf_dual,0.028666061263548044
100,5,8.0,0.1,0,OLS,0.9411312320429672
100,5,8.0,0.1,0,Huber,0.06769584962201147
100,5,8.0,0.1,0,Cauchy,0.9868610380582716
100,5,8.0,0.1,0,Barron,2.867684852879769
100,5,8.0,0.1,1,Lf_dual,0.04100847992440457
100,5,8.0,0.1,1,OLS,1.216667128883959
100,5,8.0,0.1,1,Huber,0.037232304683411765
100,5,8.0,0.1,1,Cauchy,0.04893458175130526
100,5,8.0,0.1,1,Barron,2.253920606906139
100,5,8.0,0.1,2,Lf_dual,0.040963457195894386
100,5,8.0,0.1,2,OLS,1.7108143094437158
100,5,8.0,0.1,2,Huber,0.0864495825674213
100,5,8.0,0.1,2,Cauchy,0.670326316155633
100,5,8.0,0.1,2,Barron,1.426401546365818
100,5,8.0,0.1,3,Lf_dual,0.05187205062284344
100,5,8.0,0.1,3,OLS,1.7374366562036925
100,5,8.0,0.1,3,Huber,0.1137406435701983
100,5,8.0,0.1,3,Cauchy,0.13188786782755701
100,5,8.0,0.1,3,Barron,0.2797026471048066
100,5,8.0,0.1,4,Lf_dual,0.05318641210511
100,5,8.0,0.1,4,OLS,1.3229791558974813
100,5,8.0,0.1,4,Huber,0.054144654781110545
100,5,8.0,0.1,4,Cauchy,1.0161296914648907
100,5,8.0,0.1,4,Barron,1.5878654234986025
100,5,8.0,0.1,5,Lf_dual,0.13260896379103576
100,5,8.0,0.1,5,OLS,1.2148431878347725
100,5,8.0,0.1,5,Huber,0.12082820485613754
100,5,8.0,0.1,5,Cauchy,0.6044400540348813
100,5,8.0,0.1,5,Barron,2.2320664210534886
100,5,8.0,0.1,6,Lf_dual,0.03369302736682786
100,5,8.0,0.1,6,OLS,1.4239394920903607
100,5,8.0,0.1,6,Huber,0.06487786497497898
100,5,8.0,0.1,6,Cauchy,0.397844655447804
100,5,8.0,0.1,6,Barron,2.2434731672600936
100,5,8.0,0.1,7,Lf_dual,0.04263568250192755
100,5,8.0,0.1,7,OLS,2.8732629654869695
100,5,8.0,0.1,7,Huber,0.04254777321379132
100,5,8.0,0.1,7,Cauchy,0.22937721857285132
100,5,8.0,0.1,7,Barron,3.027773518264867
100,5,8.0,0.1,8,Lf_dual,0.04393602268601667
100,5,8.0,0.1,8,OLS,0.9921737570328696
100,5,8.0,0.1,8,Huber,0.11298624365761319
100,5,8.0,0.1,8,Cauchy,0.35171935280817274
100,5,8.0,0.1,8,Barron,0.7306867192270116
100,5,8.0,0.1,9,Lf_dual,0.0461378307873502
100,5,8.0,0.1,9,OLS,1.0110055050430433
100,5,8.0,0.1,9,Huber,0.2723606467294821
100,5,8.0,0.1,9,Cauchy,1.0607564556032407
100,5,8.0,0.1,9,Barron,6.490518445620901
100,5,8.0,0.1,10,Lf_dual,0.058885206569019174
100,5,8.0,0.1,10,OLS,0.6583407439496519
100,5,8.0,0.1,10,Huber,0.18909918460972955
100,5,8.0,0.1,10,Cauchy,0.38219142877557555
100,5,8.0,0.1,10,Barron,3.605460047902087
100,5,8.0,0.1,11,Lf_dual,0.03647577371708143
100,5,8.0,0.1,11,OLS,1.2189716686072818
100,5,8.0,0.1,11,Huber,0.08010943761803041
100,5,8.0,0.1,11,Cauchy,0.9934732659894389
100,5,8.0,0.1,11,Barron,2.818377208251591
100,5,8.0,0.1,12,Lf_dual,0.03676769292128416
100,5,8.0,0.1,12,OLS,1.1378031613194317
100,5,8.0,0.1,12,Huber,0.1053616254043499
100,5,8.0,0.1,12,Cauchy,0.37513597163454976
100,5,8.0,0.1,12,Barron,1.6713532942359821
100,5,8.0,0.1,13,Lf_dual,0.03429881449572982
100,5,8.0,0.1,13,OLS,1.64093876588154
100,5,8.0,0.1,13,Huber,0.1149771211414589
100,5,8.0,0.1,13,Cauchy,0.2910272775174091
100,5,8.0,0.1,13,Barron,1.4509199496520848
100,5,8.0,0.1,14,Lf_dual,0.03283968617704403
100,5,8.0,0.1,14,OLS,0.49006134228750325
100,5,8.0,0.1,14,Huber,0.4347999333646561
100,5,8.0,0.1,14,Cauchy,0.2952062183228319
100,5,8.0,0.1,14,Barron,1.0028416234889221
100,5,8.0,0.1,15,Lf_dual,0.04274195668705857
100,5,8.0,0.1,15,OLS,1.0655697820905343
100,5,8.0,0.1,15,Huber,0.027306252080070353
100,5,8.0,0.1,15,Cauchy,0.23134739095242512
100,5,8.0,0.1,15,Barron,1.5313166469241932
100,5,8.0,0.1,16,Lf_dual,0.05218756828805
100,5,8.0,0.1,16,OLS,1.2722376576661607
100,5,8.0,0.1,16,Huber,0.07800328507783412
100,5,8.0,0.1,16,Cauchy,0.3198039188164201
100,5,8.0,0.1,16,Barron,1.0440186045179836
100,5,8.0,0.1,17,Lf_dual,0.027112933966328422
100,5,8.0,0.1,17,OLS,1.5802770722913007
100,5,8.0,0.1,17,Huber,0.028597294115375656
100,5,8.0,0.1,17,Cauchy,0.673368831773112
100,5,8.0,0.1,17,Barron,0.7741767798123304
100,5,8.0,0.1,18,Lf_dual,0.04318605184565875
100,5,8.0,0.1,18,OLS,0.8372631919445385
100,5,8.0,0.1,18,Huber,0.17990440534465624
100,5,8.0,0.1,18,Cauchy,1.3101854557674826
100,5,8.0,0.1,18,Barron,5.70664461231792
100,5,8.0,0.1,19,Lf_dual,0.04528072507192729
100,5,8.0,0.1,19,OLS,1.0962026673841716
100,5,8.0,0.1,19,Huber,0.2362980358917949
100,5,8.0,0.1,19,Cauchy,1.0126138273711505
100,5,8.0,0.1,19,Barron,4.639415360079489
100,5,8.0,0.2,0,Lf_dual,0.08407570441599074
100,5,8.0,0.2,0,OLS,1.0977201023824243
100,5,8.0,0.2,0,Huber,0.03117969979715542
100,5,8.0,0.2,0,Cauchy,0.3291318488045232
100,5,8.0,0.2,0,Barron,2.95758116792109
100,5,8.0,0.2,1,Lf_dual,0.567932392090381
100,5,8.0,0.2,1,OLS,0.8760105544054847
100,5,8.0,0.2,1,Huber,0.11437973879775298
100,5,8.0,0.2,1,Cauchy,0.057636263895741606
100,5,8.0,0.2,1,Barron,1.226410811324536
100,5,8.0,0.2,2,Lf_dual,0.04441043868370983
100,5,8.0,0.2,2,OLS,0.7156722695925745
100,5,8.0,0.2,2,Huber,0.07412742385006704
100,5,8.0,0.2,2,Cauchy,0.7858460458650207
100,5,8.0,0.2,2,Barron,2.1822904268192898
100,5,8.0,0.2,3,Lf_dual,0.06525746514289515
100,5,8.0,0.2,3,OLS,0.5166927270379974
100,5,8.0,0.2,3,Huber,0.08839429955687125
100,5,8.0,0.2,3,Cauchy,0.2088809137369616
100,5,8.0,0.2,3,Barron,0.6709820429246913
100,5,8.0,0.2,4,Lf_dual,0.0571345617837508
100,5,8.0,0.2,4,OLS,0.8452008790338521
100,5,8.0,0.2,4,Huber,0.10526471272866683
100,5,8.0,0.2,4,Cauchy,0.9395619143890088
100,5,8.0,0.2,4,Barron,3.222541575766697
100,5,8.0,0.2,5,Lf_dual,0.06803562238221439
100,5,8.0,0.2,5,OLS,1.6307896255769696
100,5,8.0,0.2,5,Huber,0.04074674066783769
100,5,8.0,0.2,5,Cauchy,0.7872324378516747
100,5,8.0,0.2,5,Barron,1.6513834728020262
100,5,8.0,0.2,6,Lf_dual,0.057962223967819734
100,5,8.0,0.2,6,OLS,0.5270638087697346
100,5,8.0,0.2,6,Huber,0.09844608989286897
100,5,8.0,0.2,6,Cauchy,0.7205158267582742
100,5,8.0,0.2,6,Barron,4.579646571057785
100,5,8.0,0.2,7,Lf_dual,0.09825792549810268
100,5,8.0,0.2,7,OLS,1.2246692642016417
100,5,8.0,0.2,7,Huber,0.07324598493773611
100,5,8.0,0.2,7,Cauchy,0.7999969017934163
100,5,8.0,0.2,7,Barron,3.5901522899298803
100,5,8.0,0.2,8,Lf_dual,0.031270066552788967
100,5,8.0,0.2,8,OLS,0.309082004258816
100,5,8.0,0.2,8,Huber,1.6081079853785327
100,5,8.0,0.2,8,Cauchy,1.6339868621856497
100,5,8.0,0.2,8,Barron,1.6913704904690814
100,5,8.0,0.2,9,Lf_dual,0.1142963920415913
100,5,8.0,0.2,9,OLS,0.6075483901418598
100,5,8.0,0.2,9,Huber,0.0414717583894156
100,5,8.0,0.2,9,Cauchy,0.9076088356183705
100,5,8.0,0.2,9,Barron,11.864170818021226
100,5,8.0,0.2,10,Lf_dual,0.03587826431938325
100,5,8.0,0.2,10,OLS,0.6387823648713926
100,5,8.0,0.2,10,Huber,0.1240367369525771
100,5,8.0,0.2,10,Cauchy,0.4088484919621472
100,5,8.0,0.2,10,Barron,2.631256717684717
100,5,8.0,0.2,11,Lf_dual,0.06254089758166857
100,5,8.0,0.2,11,OLS,0.9291808040319789
100,5,8.0,0.2,11,Huber,0.07298162931231521
100,5,8.0,0.2,11,Cauchy,0.8109940344555011
100,5,8.0,0.2,11,Barron,3.901667056697531
100,5,8.0,0.2,12,Lf_dual,0.04922476746297821
100,5,8.0,0.2,12,OLS,1.6278834247763212
100,5,8.0,0.2,12,Huber,0.10209957894134557
100,5,8.0,0.2,12,Cauchy,0.3337508173855392
100,5,8.0,0.2,12,Barron,3.0411045256533624
100,5,8.0,0.2,13,Lf_dual,0.08355485504893681
100,5,8.0,0.2,13,OLS,1.5061867070271238
100,5,8.0,0.2,13,Huber,0.033569631678010164
100,5,8.0,0.2,13,Cauchy,0.1496898328340321
100,5,8.0,0.2,13,Barron,2.439136621681039
100,5,8.0,0.2,14,Lf_dual,0.0696659422401744
100,5,8.0,0.2,14,OLS,1.014785138349504
100,5,8.0,0.2,14,Huber,1.9489184887588449
100,5,8.0,0.2,14,Cauchy,0.13532409915299784
100,5,8.0,0.2,14,Barron,1.2225880472214112
100,5,8.0,0.2,15,Lf_dual,0.07246692772736012
100,5,8.0,0.2,15,OLS,0.590503537863644
100,5,8.0,0.2,15,Huber,0.10067350013540594
100,5,8.0,0.2,15,Cauchy,0.16768096547770855
100,5,8.0,0.2,15,Barron,1.3795332440495736
100,5,8.0,0.2,16,Lf_dual,0.07598884762058421
100,5,8.0,0.2,16,OLS,1.4610575177656915
100,5,8.0,0.2,16,Huber,0.09900279131639754
100,5,8.0,0.2,16,Cauchy,0.3292606497543914
100,5,8.0,0.2,16,Barron,1.0217473039470872
100,5,8.0,0.2,17,Lf_dual,0.04365252345265334
100,5,8.0,0.2,17,OLS,1.041943317635712
100,5,8.0,0.2,17,Huber,0.055372740584576786
100,5,8.0,0.2,17,Cauchy,0.6608448942889295
100,5,8.0,0.2,17,Barron,1.1322878148659468
100,5,8.0,0.2,18,Lf_dual,0.0446274892101718
100,5,8.0,0.2,18,OLS,1.0424511044606244
100,5,8.0,0.2,18,Huber,0.04481792619677102
100,5,8.0,0.2,18,Cauchy,0.3179542065341998
100,5,8.0,0.2,18,Barron,4.20368365644905
100,5,8.0,0.2,19,Lf_dual,0.5050099048975287
100,5,8.0,0.2,19,OLS,1.9394187249753534
100,5,8.0,0.2,19,Huber,0.03810445743878651
100,5,8.0,0.2,19,Cauchy,1.0571874163740396
100,5,8.0,0.2,19,Barron,1.9138546788363864
100,5,12.0,0.1,0,Lf_dual,0.02866575355958793
100,5,12.0,0.1,0,OLS,1.1181939403726142
100,5,12.0,0.1,0,Huber,0.03134637640917717
100,5,12.0,0.1,0,Cauchy,0.25441552242189525
100,5,12.0,0.1,0,Barron,3.2671617073815544
100,5,12.0,0.1,1,Lf_dual,0.3153540934050116
100,5,12.0,0.1,1,OLS,1.4037562639847765
100,5,12.0,0.1,1,Huber,0.03683256240186335
100,5,12.0,0.1,1,Cauchy,0.9966022009144788
100,5,12.0,0.1,1,Barron,2.196657761449061
100,5,12.0,0.1,2,Lf_dual,0.4056675309499104
100,5,12.0,0.1,2,OLS,1.9907115385232301
100,5,12.0,0.1,2,Huber,0.04348045136931872
100,5,12.0,0.1,2,Cauchy,0.42304129370745813
100,5,12.0,0.1,2,Barron,1.7489050612059356
100,5,12.0,0.1,3,Lf_dual,0.05327259192704168
100,5,12.0,0.1,3,OLS,2.0476149361048637
100,5,12.0,0.1,3,Huber,0.02775712407941322
100,5,12.0,0.1,3,Cauchy,0.22830491041280387
100,5,12.0,0.1,3,Barron,0.5932629159193469
100,5,12.0,0.1,4,Lf_dual,0.05327272125439165
100,5,12.0,0.1,4,OLS,1.5438426415312068
100,5,12.0,0.1,4,Huber,0.08465953111264393
100,5,12.0,0.1,4,Cauchy,0.9993844692462699
100,5,12.0,0.1,4,Barron,1.4884046044337866
100,5,12.0,0.1,5,Lf_dual,1.031528191032886
100,5,12.0,0.1,5,OLS,1.269206312549545
100,5,12.0,0.1,5,Huber,0.09209053012574381
100,5,12.0,0.1,5,Cauchy,0.5941836996735701
100,5,12.0,0.1,5,Barron,2.3706163291934135
100,5,12.0,0.1,6,Lf_dual,0.03365767008594377
100,5,12.0,0.1,6,OLS,1.607874947629122
100,5,12.0,0.1,6,Huber,0.048690464667007334
100,5,12.0,0.1,6,Cauchy,1.3613522429754092
100,5,12.0,0.1,6,Barron,1.9572545148431866
100,5,12.0,0.1,7,Lf_dual,0.0426361829073508
100,5,12.0,0.1,7,OLS,3.867517942553278
100,5,12.0,0.1,7,Huber,0.04152482725994488
100,5,12.0,0.1,7,Cauchy,0.45468249036559655
100,5,12.0,0.1,7,Barron,2.6410961474632457
100,5,12.0,0.1,8,Lf_dual,0.04598868972249054
100,5,12.0,0.1,8,OLS,1.2906933013274888
100,5,12.0,0.1,8,Huber,0.021692115699251138
100,5,12.0,0.1,8,Cauchy,0.36030557676168035
100,5,12.0,0.1,8,Barron,0.6410156279837605
100,5,12.0,0.1,9,Lf_dual,0.05393158868340871
100,5,12.0,0.1,9,OLS,1.1585800681744294
100,5,12.0,0.1,9,Huber,0.14960437055867404
100,5,12.0,0.1,9,Cauchy,1.2510991206049076
100,5,12.0,0.1,9,Barron,3.391404654226309
100,5,12.0,0.1,10,Lf_dual,0.06593388454275391
100,5,12.0,0.1,10,OLS,0.78976913497704
100,5,12.0,0.1,10,Huber,0.12402577136978472
100,5,12.0,0.1,10,Cauchy,0.719367864724118
100,5,12.0,0.1,10,Barron,3.6511891957518348
100,5,12.0,0.1,11,Lf_dual,0.03766281843165848
100,5,12.0,0.1,11,OLS,1.3652112954519477
100,5,12.0,0.1,11,Huber,0.03340741147759395
100,5,12.0,0.1,11,Cauchy,0.9060561530022948
100,5,12.0,0.1,11,Barron,3.1987237447096626
100,5,12.0,0.1,12,Lf_dual,0.045106804416816526
100,5,12.0,0.1,12,OLS,1.389548924170296
100,5,12.0,0.1,12,Huber,0.07721527310800755
100,5,12.0,0.1,12,Cauchy,0.31713367253288777
100,5,12.0,0.1,12,Barron,2.3655525138653077
100,5,12.0,0.1,13,Lf_dual,0.03929176622022708
100,5,12.0,0.1,13,OLS,1.8182275357684803
100,5,12.0,0.1,13,Huber,0.028724978873237692
100,5,12.0,0.1,13,Cauchy,0.9715296301359946
100,5,12.0,0.1,13,Barron,1.5382815914174766
100,5,12.0,0.1,14,Lf_dual,0.032839286123020416
100,5,12.0,0.1,14,OLS,0.5502451897185603
100,5,12.0,0.1,14,Huber,0.3872837948728961
100,5,12.0,0.1,14,Cauchy,0.3175882075919056
100,5,12.0,0.1,14,Barron,2.09622361057844
100,5,12.0,0.1,15,Lf_dual,0.03556299202802612
100,5,12.0,0.1,15,OLS,1.1510954572010983
100,5,12.0,0.1,15,Huber,0.045951222382734844
100,5,12.0,0.1,15,Cauchy,0.21730794518529878
100,5,12.0,0.1,15,Barron,1.584683365088418
100,5,12.0,0.1,16,Lf_dual,0.6844251057954213
100,5,12.0,0.1,16,OLS,1.4717119441800282
100,5,12.0,0.1,16,Huber,0.12273260172487312
100,5,12.0,0.1,16,Cauchy,0.32446899031153215
100,5,12.0,0.1,16,Barron,1.0752373257563568
100,5,12.0,0.1,17,Lf_dual,0.24973156727105525
100,5,12.0,0.1,17,OLS,2.028283370203025
100,5,12.0,0.1,17,Huber,0.03836246396607367
100,5,12.0,0.1,17,Cauchy,0.6852298996818287
100,5,12.0,0.1,17,Barron,1.1807413707404506
100,5,12.0,0.1,18,Lf_dual,0.04318660493362102
100,5,12.0,0.1,18,OLS,0.9395480556281379
100,5,12.0,0.1,18,Huber,0.1742507596610894
100,5,12.0,0.1,18,Cauchy,2.317898188048997
100,5,12.0,0.1,18,Barron,4.107947057345575
100,5,12.0,0.1,19,Lf_dual,0.04441791856707983
100,5,12.0,0.1,19,OLS,1.3079861070244725
100,5,12.0,0.1,19,Huber,0.12397307734965879
100,5,12.0,0.1,19,Cauchy,1.090842088753965
100,5,12.0,0.1,19,Barron,3.616115331829544
