Dataset,Outlier_Frac,Trial,Config,Rel_Error
Chwirut2,0.3,6,C1d,0.08982010278162116
Chwirut2,0.3,7,C1d,0.10509291077279176
Chwirut2,0.3,8,C1d,0.10381122010339779
Chwirut2,0.3,9,C1d,0.20658039087372154
Chwirut2,0.3,10,C1d,0.019208712402793187
Chwirut2,0.3,11,C1d,0.12425121912621102
Chwirut2,0.3,12,C1d,0.09505331915891517
Chwirut2,0.3,13,C1d,0.1178016778594887
Chwirut2,0.3,14,C1d,0.13590317159224516
Chwirut2,0.3,15,C1d,0.3090539905300096
Chwirut2,0.3,16,C1d,0.05064346490412725
Chwirut2,0.3,17,C1d,0.09335463980846966
Chwirut2,0.3,18,C1d,0.10708549764361638
Chwirut2,0.3,19,C1d,0.07740205674357767
Chwirut1,0.0,0,C1d,0.21800923313726162
Chwirut1,0.1,0,C1d,0.17680679115009587
Chwirut1,0.1,1,C1d,0.19821181223026443
Chwirut1,0.1,2,C1d,0.21076278389956044
Chwirut1,0.1,3,C1d,0.23206765033752383
Chwirut1,0.1,4,C1d,0.19935741124564754
Chwirut1,0.1,5,C1d,0.21688214266707403
Chwirut1,0.1,6,C1d,0.2014165633330931
Chwirut1,0.1,7,C1d,0.1836548890054636
Chwirut1,0.1,8,C1d,0.23490492810169739
Chwirut1,0.1,9,C1d,0.27726523005191966
Chwirut1,0.1,10,C1d,0.20306054661444486
Chwirut1,0.1,11,C1d,0.22700553361504303
Chwirut1,0.1,12,C1d,0.2230022665963578
Chwirut1,0.1,13,C1d,0.16543496997882437
Chwirut1,0.1,14,C1d,0.19441671799503957
Chwirut1,0.1,15,C1d,0.19001574930120443
Chwirut1,0.1,16,C1d,0.13300736100908445
Chwirut1,0.1,17,C1d,0.17680508497598574
Chwirut1,0.1,18,C1d,0.24879663306804214
Chwirut1,0.1,19,C1d,0.2108072525242103
Chwirut1,0.2,0,C1d,0.20583457093949414
Chwirut1,0.2,1,C1d,0.15796315836462027
Chwirut1,0.2,2,C1d,0.2105329111873965
Chwirut1,0.2,3,C1d,0.18610439489193653
Chwirut1,0.2,4,C1d,0.19696183159096697
Chwirut1,0.2,5,C1d,0.2107310646662987
Chwirut1,0.2,6,C1d,0.2087103274349384
Chwirut1,0.2,7,C1d,0.22935432062060848
Chwirut1,0.2,8,C1d,0.19616167826168748
Chwirut1,0.2,9,C1d,0.2041726361232675
Chwirut1,0.2,10,C1d,0.2107503116303952
Chwirut1,0.2,11,C1d,0.20898385517673557
Chwirut1,0.2,12,C1d,0.21259494521406205
Chwirut1,0.2,13,C1d,0.22953562378264694
Chwirut1,0.2,14,C1d,0.21007757673573707
Chwirut1,0.2,15,C1d,0.208688796302378
Chwirut1,0.2,16,C1d,0.2365001210930631
Chwirut1,0.2,17,C1d,0.24615005132686218
Chwirut1,0.2,18,C1d,0.2065761410877775
Chwirut1,0.2,19,C1d,0.2235805842084248
Chwirut1,0.3,0,C1d,0.13366930147597988
Chwirut1,0.3,1,C1d,0.2251663711805493
Chwirut1,0.3,2,C1d,0.1962072717562967
Chwirut1,0.3,3,C1d,0.1609037638963131
Chwirut1,0.3,4,C1d,0.21076586821142249
Chwirut1,0.3,5,C1d,0.21005954369103688
Chwirut1,0.3,6,C1d,0.2100067909520373
Chwirut1,0.3,7,C1d,0.17691712311385094
Chwirut1,0.3,8,C1d,0.2461505382427502
Chwirut1,0.3,9,C1d,0.1453735304171397
Chwirut1,0.3,10,C1d,0.23045707862308046
Chwirut1,0.3,11,C1d,0.2139194387005484
Chwirut1,0.3,12,C1d,0.2153717382301739
Chwirut1,0.3,13,C1d,0.1720954749812536
Chwirut1,0.3,14,C1d,0.19053520613386102
Chwirut1,0.3,15,C1d,0.20029969499690195
Chwirut1,0.3,16,C1d,0.21801469019063138
Chwirut1,0.3,17,C1d,0.16219836185981312
Chwirut1,0.3,18,C1d,0.21075135348838528
Chwirut1,0.3,19,C1d,0.22514298808496497
Lanczos3,0.0,0,C1d,0.14005995601960827
Lanczos3,0.1,0,C1d,0.1506783452694888
Lanczos3,0.1,1,C1d,0.13782186490997708
Lanczos3,0.1,2,C1d,0.2348238286618168
Lanczos3,0.1,3,C1d,0.16309498906729128
Lanczos3,0.1,4,C1d,0.14413781146428978
Lanczos3,0.1,5,C1d,0.07916418672527872
Lanczos3,0.1,6,C1d,0.14301347497121003
Lanczos3,0.1,7,C1d,0.16403773663668
Lanczos3,0.1,8,C1d,0.15405201311488143
Lanczos3,0.1,9,C1d,0.3292973633585303
Lanczos3,0.1,10,C1d,0.13920577261772416
Lanczos3,0.1,11,C1d,0.13660334680766198
Lanczos3,0.1,12,C1d,0.40231098942457216
Lanczos3,0.1,13,C1d,0.15568398013350085
Lanczos3,0.1,14,C1d,0.5816221906629033
Lanczos3,0.1,15,C1d,0.49168580372121407
Lanczos3,0.1,16,C1d,0.14115887065122182
Lanczos3,0.1,17,C1d,0.13474887491764073
Lanczos3,0.1,18,C1d,0.15455664788338988
Lanczos3,0.1,19,C1d,0.1485770182801817
Lanczos3,0.2,0,C1d,0.5048915263535373
Lanczos3,0.2,1,C1d,0.09424598612943454
Lanczos3,0.2,2,C1d,0.20589457215492793
Lanczos3,0.2,3,C1d,0.11884436590814772
Lanczos3,0.2,4,C1d,0.1405688627024898
Lanczos3,0.2,5,C1d,0.0211989814766182
Lanczos3,0.2,6,C1d,0.2849854338612763
Lanczos3,0.2,7,C1d,0.2149025809907075
Lanczos3,0.2,8,C1d,0.051302967148989735
Lanczos3,0.2,9,C1d,0.11152998312950534
Lanczos3,0.2,10,C1d,0.14528396143512068
Lanczos3,0.2,11,C1d,0.15185213353134372
Lanczos3,0.2,12,C1d,1.1740203198030186
Lanczos3,0.2,13,C1d,0.15834373566070678
Lanczos3,0.2,14,C1d,0.1335016225473846
Lanczos3,0.2,15,C1d,0.15824858440003992
Lanczos3,0.2,16,C1d,0.2209463556752689
Lanczos3,0.2,17,C1d,1.7432439140264908
Lanczos3,0.2,18,C1d,0.2771363083173853
Lanczos3,0.2,19,C1d,0.04321268868421144
Lanczos3,0.3,0,C1d,0.08739342847421869
Lanczos3,0.3,1,C1d,1.7227747493127743
Lanczos3,0.3,2,C1d,0.19382058958122303
Lanczos3,0.3,3,C1d,0.1681780542573049
Lanczos3,0.3,4,C1d,0.18162407443425307
Lanczos3,0.3,5,C1d,0.012017933492724314
Lanczos3,0.3,6,C1d,0.1853497860562161
Lanczos3,0.3,7,C1d,0.12084214096165483
Lanczos3,0.3,8,C1d,0.10627109559909352
Lanczos3,0.3,9,C1d,0.33661330044623367
Lanczos3,0.3,10,C1d,0.04370741326245299
Lanczos3,0.3,11,C1d,0.20204650940793237
Lanczos3,0.3,12,C1d,0.9673608500737586
Lanczos3,0.3,13,C1d,0.05210809214229358
Lanczos3,0.3,14,C1d,0.029404920723858762
Lanczos3,0.3,15,C1d,0.11629503521841551
Lanczos3,0.3,16,C1d,0.023164761271563833
Lanczos3,0.3,17,C1d,0.03838634314612398
Lanczos3,0.3,18,C1d,0.2304561365376214
Lanczos3,0.3,19,C1d,0.02671702410457347
Gauss1,0.0,0,C1d,0.026161782782066448
Gauss1,0.1,0,C1d,0.013533939434967111
Gauss1,0.1,1,C1d,0.029178447017624204
Gauss1,0.1,2,C1d,0.014286368593643147
Gauss1,0.1,3,C1d,0.02815816186460974
Gauss1,0.1,4,C1d,0.014243373947008938
Gauss1,0.1,5,C1d,0.027780569469136613
Gauss1,0.1,6,C1d,0.028151576632199516
Gauss1,0.1,7,C1d,0.01766548146978425
Gauss1,0.1,8,C1d,0.017068882019725565
Gauss1,0.1,9,C1d,0.016753571321764204
Gauss1,0.1,10,C1d,0.012774219850271062
Gauss1,0.1,11,C1d,0.014028910726734112
Gauss1,0.1,12,C1d,0.027814012364086975
Gauss1,0.1,13,C1d,0.01419344974416073
Gauss1,0.1,14,C1d,0.012239950248657334
Gauss1,0.1,15,C1d,0.029178447020032736
Gauss1,0.1,16,C1d,0.02768480261354674
Gauss1,0.1,17,C1d,0.011598321194365489
Gauss1,0.1,18,C1d,0.02795996652159296
Gauss1,0.1,19,C1d,0.014704169224492514
Gauss1,0.2,0,C1d,0.014652512728361437
Gauss1,0.2,1,C1d,0.020163296041004444
Gauss1,0.2,2,C1d,0.02917844701666095
Gauss1,0.2,3,C1d,0.014944699495364084
Gauss1,0.2,4,C1d,0.029178447011803894
Gauss1,0.2,5,C1d,0.02819210083342926
Gauss1,0.2,6,C1d,0.029178447021216802
Gauss1,0.2,7,C1d,0.011651235474780752
Gauss1,0.2,8,C1d,0.029178447016766328
Gauss1,0.2,9,C1d,0.02795363185114686
Gauss1,0.2,10,C1d,0.016254455781556976
Gauss1,0.2,11,C1d,0.027710437979093186
Gauss1,0.2,12,C1d,0.012390457410987593
Gauss1,0.2,13,C1d,0.028197736197096413
Gauss1,0.2,14,C1d,0.029178447020166483
Gauss1,0.2,15,C1d,0.012216075177383384
Gauss1,0.2,16,C1d,0.028280872001425757
Gauss1,0.2,17,C1d,0.011991964621853358
Gauss1,0.2,18,C1d,0.014916764966543145
Gauss1,0.2,19,C1d,0.029178447013689247
Gauss1,0.3,0,C1d,0.021597303383901718
Gauss1,0.3,1,C1d,0.029178447022301265
Gauss1,0.3,2,C1d,0.025985286824505335
Gauss1,0.3,3,C1d,0.029178447015801565
Gauss1,0.3,4,C1d,0.017132029083880264
Gauss1,0.3,5,C1d,0.029178447015672057
Gauss1,0.3,6,C1d,0.020171285850597485
Gauss1,0.3,7,C1d,0.027204655203295857
Gauss1,0.3,8,C1d,0.018944728398189458
Gauss1,0.3,9,C1d,0.01509143876640185
Gauss1,0.3,10,C1d,0.02917844702020303
Gauss1,0.3,11,C1d,0.015995977313945
Gauss1,0.3,12,C1d,0.029103174395649557
Gauss1,0.3,13,C1d,0.02917844701669107
Gauss1,0.3,14,C1d,0.029179517877594485
Gauss1,0.3,15,C1d,0.02876912658298075
Gauss1,0.3,16,C1d,0.02917844702005034
Gauss1,0.3,17,C1d,0.02917844701621423
Gauss1,0.3,18,C1d,0.028033166736797854
Gauss1,0.3,19,C1d,0.016722677648550212
Gauss2,0.0,0,C1d,0.02251398301142614
Gauss2,0.1,0,C1d,0.02251398301050561
Gauss2,0.1,1,C1d,0.022513839360408752
Gauss2,0.1,2,C1d,0.02251398301243171
Gauss2,0.1,3,C1d,0.02160278198818368
Gauss2,0.1,4,C1d,0.015641531948096744
Gauss2,0.1,5,C1d,0.02144234076036514
Gauss2,0.1,6,C1d,0.02251398301139975
Gauss2,0.1,7,C1d,0.022379782854819376
Gauss2,0.1,8,C1d,0.02251398301164941
Gauss2,0.1,9,C1d,0.0225139830117766
Gauss2,0.1,10,C1d,0.02251398301101148
Gauss2,0.1,11,C1d,0.022513983011828345
Gauss2,0.1,12,C1d,0.022513983011403754
Gauss2,0.1,13,C1d,0.017755697899712534
Gauss2,0.1,14,C1d,0.022513983011119135
Gauss2,0.1,15,C1d,0.022513983011326604
Gauss2,0.1,16,C1d,0.014597134792097156
Gauss2,0.1,17,C1d,0.02251398301176191
Gauss2,0.1,18,C1d,0.022513983011019166
Gauss2,0.1,19,C1d,0.02251398301169308
Gauss2,0.2,0,C1d,0.022513983009344606
Gauss2,0.2,1,C1d,0.022513983011106804
Gauss2,0.2,2,C1d,0.02190044513725696
Gauss2,0.2,3,C1d,0.02251398301192737
Gauss2,0.2,4,C1d,0.021806411067808434
Gauss2,0.2,5,C1d,0.022513983012913064
Gauss2,0.2,6,C1d,0.017230750960289896
Gauss2,0.2,7,C1d,0.022513983011558422
Gauss2,0.2,8,C1d,0.021768586232158074
Gauss2,0.2,9,C1d,0.022514217609644567
Gauss2,0.2,10,C1d,0.021979910896823968
Gauss2,0.2,11,C1d,0.022513983010872013
Gauss2,0.2,12,C1d,0.02251388438806227
Gauss2,0.2,13,C1d,0.022513983010501327
Gauss2,0.2,14,C1d,0.022513983011218767
Gauss2,0.2,15,C1d,0.022513983011591077
Gauss2,0.2,16,C1d,0.010609533998169825
Gauss2,0.2,17,C1d,0.022513983010601743
Gauss2,0.2,18,C1d,0.022513983011740284
Gauss2,0.2,19,C1d,0.022513983011478785
Gauss2,0.3,0,C1d,0.022513983010881446
Gauss2,0.3,1,C1d,0.017527140347091862
Gauss2,0.3,2,C1d,0.02251398300953618
Gauss2,0.3,3,C1d,0.020999760549365323
Gauss2,0.3,4,C1d,0.022514150120540494
Gauss2,0.3,5,C1d,0.017244810757301443
Gauss2,0.3,6,C1d,0.022513545571422645
Gauss2,0.3,7,C1d,0.016129462567175644
Gauss2,0.3,8,C1d,0.022513983012886103
Gauss2,0.3,9,C1d,0.02251352146879875
Gauss2,0.3,10,C1d,0.02251398300968388
Gauss2,0.3,11,C1d,0.022513983009852034
Gauss2,0.3,12,C1d,0.022513983011019163
Gauss2,0.3,13,C1d,0.021959244545069267
Gauss2,0.3,14,C1d,0.02251398300809867
Gauss2,0.3,15,C1d,0.022513983009693556
Gauss2,0.3,16,C1d,0.022513983011662013
Gauss2,0.3,17,C1d,0.022513287807704143
Gauss2,0.3,18,C1d,0.022513983020005627
Gauss2,0.3,19,C1d,0.022513983012890433
DanWood,0.0,0,C1d,0.02758508807321438
DanWood,0.1,0,C1d,0.02758624951051714
DanWood,0.1,1,C1d,0.005288886316718883
DanWood,0.1,2,C1d,0.031120839893097708
