Dataset,Outlier_Frac,Trial,re_new,re_pub
Misra1a,0.0,0,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,1,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,2,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,3,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,4,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,5,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,6,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,7,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,8,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,9,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,10,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,11,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,12,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,13,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,14,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,15,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,16,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,17,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,18,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.0,19,5.295378564893713e-11,5.295223932379196e-11
Misra1a,0.1,0,0.46560993689109087,0.465609936891091
Misra1a,0.1,1,3.5183257431562,3.518325743143614
Misra1a,0.1,2,0.41468083816579154,0.4146808381657904
Misra1a,0.1,3,0.0451907023297665,0.0451907023297661
Misra1a,0.1,4,0.206735048442454,0.206735048442456
Misra1a,0.1,5,0.393690069050234,0.3936900690502339
Misra1a,0.1,6,9.614852286780932,9.614852286637747
Misra1a,0.1,7,0.5229639574764816,0.5229639574764818
Misra1a,0.1,8,1.2087525877030068,1.208752587702914
Misra1a,0.1,9,0.7052053237278879,0.7052053237278879
Misra1a,0.1,10,0.028523195515120933,0.0285231955151099
Misra1a,0.1,11,0.020386361131555886,0.0203863611315579
Misra1a,0.1,12,0.6854131653040986,0.6854131653041038
Misra1a,0.1,13,0.21774978392031732,0.2177497839203172
Misra1a,0.1,14,0.5365005433708208,0.5365005433708211
